numberOfTrips,start_day,start_month,start_year,Community Areas,duration,distance
18,30,10,2018,4,629,1.68454508216202
7,4,9,2018,39,1416,2.81429121575295
345,22,5,2018,23,1078,2.71296419654663
16,6,11,2018,4,945,2.0882226816026
294,17,10,2018,8,536,1.40237364763222
20,9,8,2018,24,953,2.88621593543703
29,18,1,2018,76,474,1.30137534840806
27,5,9,2018,5,729,1.96006128947896
10,27,8,2018,56,1042,2.08912747603969
1,21,3,2018,24,670,2.85244841268222
7,19,8,2018,67,750,0.84610940295808
8,27,8,2018,59,1104,3.69405452742288
5,4,12,2018,13,1159,3.26482402994482
354,12,9,2018,8,743,1.63979528741493
123,27,1,2018,31,766,2.12601872683382
3150,1,8,2018,29,772,1.83015059161721
199,3,2,2018,25,571,1.77345809350525
732,25,5,2018,34,1776,2.41447674535566
2,21,3,2018,30,796,3.41287641898204
8,20,8,2018,56,6165,4.46188668869854
6,18,12,2018,59,966,2.83991757002409
4,11,10,2018,3,1145,1.56149258453952
54,25,10,2018,0,696,1.76680682671995
2,9,6,2018,26,22179,0.423531716830863
32,3,1,2018,10,394,0.979833766134326
84,27,2,2018,46,680,2.09229152825182
135,2,9,2018,33,1497,2.68072965513078
203,13,7,2018,76,3273,3.57689007612896
4,22,8,2018,65,1112,1.10819307812946
17,31,3,2018,22,1967,4.24508211740416
1274,29,7,2018,25,1212,2.3476695312267
8,24,4,2018,30,875,2.94060851105758
73,16,7,2018,35,1137,1.87481998357169
3736,3,8,2018,38,1296,2.0720052253243
1,19,3,2018,21,1741,5.6030262826785
11,1,5,2018,13,2249,2.4075257838197
14,6,7,2018,56,1237,3.14870767921353
1,9,7,2018,41,680,1.11701866066385
15,4,6,2018,32,1026,3.17020527448638
3,24,1,2018,59,802,2.97207240691815
3,2,12,2018,4,484,1.20731673865069
4,18,3,2018,32,2163,1.34557199421621
4,29,9,2018,26,14718,0.387120040712486
1,4,8,2018,27,363,0.923480774480247
5,16,1,2018,67,1356,1.49750373245105
586,20,12,2018,68,797,2.24966340878927
944,4,10,2018,57,855,2.21411520373012
82,16,9,2018,30,1377,4.36442182193087
12,7,7,2018,13,1484,2.85314945057116
34,7,9,2018,14,1270,2.67025123685957
1,29,1,2018,40,740,2.14012342246189
45,24,1,2018,33,581,1.95554417165203
13,1,2,2018,16,461,1.4554996260015
89,20,10,2018,6,873,1.91933532775001
1,17,4,2018,27,1556,7.02741244171107
243,12,10,2018,23,1083,2.45831392394354
101,28,12,2018,34,952,1.88237385614873
67,7,11,2018,76,721,1.87392773145535
6,11,8,2018,30,1017,2.90373722355731
1,15,11,2018,59,833,2.72430941483971
10,20,5,2018,14,829,2.85526103488517
2101,28,9,2018,37,841,1.80377379250657
40,3,11,2018,35,1169,2.22102897278043
63,10,4,2018,33,725,2.16432178692112
81,22,9,2018,0,3869,1.76433194934921
499,21,9,2018,34,1281,2.43606848472967
5,3,4,2018,7,492,1.40661136048415
40,9,12,2018,33,887,2.5437601618719
7,8,5,2018,39,1074,1.70642458926936
32,8,10,2018,5,1901,4.10193962692167
2,12,3,2018,21,1741,5.54817438124185
48,15,4,2018,8,373,1.06981758004266
3,2,7,2018,15,1048,3.4012680267235
156,22,4,2018,8,1696,2.15974560129347
43,5,2,2018,34,697,1.77586671484877
20,10,7,2018,4,963,2.30835009316333
2,29,9,2018,3,538,1.31687098845723
1,8,12,2018,67,725,2.41703757487852
5,24,7,2018,27,738,2.0539749573348
4,30,6,2018,56,1870,5.43699801308856
5,10,1,2018,39,425,1.10189841558745
15,5,10,2018,20,958,3.12422555879089
3,17,1,2018,7,391,1.47625844059083
62,21,12,2018,8,425,1.15357661442759
2354,18,6,2018,29,726,1.78544156587125
257,4,6,2018,6,1068,2.20759676545374
187,28,5,2018,6,1813,2.35941892972158
10,5,5,2018,28,2948,5.13934187787636
14,26,11,2018,10,677,1.20829394256667
2,30,1,2018,3,645,1.9021517518721
11,27,10,2018,32,64877,1.02414440654016
5,24,7,2018,21,1425,3.64535761231042
41,12,8,2018,16,2934,3.20519605364745
4,22,1,2018,14,1465,1.5988110867079
103,26,10,2018,46,809,2.51609614032175
3,16,12,2018,24,1027,3.67021913312506
3303,21,9,2018,37,1399,2.05294273953117
234,3,7,2018,1,1356,1.85695938876238
53,16,7,2018,58,1944,2.69242150589787
114,29,9,2018,0,2271,2.76587122887029
146,23,6,2018,33,1447,2.48557772401755
85,27,10,2018,6,618,1.833934646719
3964,27,5,2018,37,2367,2.12765343566778
19,11,3,2018,58,669,1.708400105633
1,9,12,2018,30,528,1.99427095503636
372,29,4,2018,34,1930,2.17970527124011
37,17,1,2018,33,533,1.64946423353277
7,20,2,2018,20,513,1.73341608927912
9,3,4,2018,4,704,1.42559640978673
13,7,4,2018,22,1015,3.5148346304767
2,22,11,2018,59,1429,3.39189427115804
372,8,10,2018,8,1030,1.91054268663772
30,31,8,2018,14,816,1.80810117781833
104,5,2,2018,57,522,1.48318143742959
7,26,8,2018,13,1720,2.03733530047146
5,17,4,2018,4,722,2.47756860248628
