numberOfTrips,start_day,start_month,start_year,Community Areas,duration,distance
1029,28,5,2018,29,1154,1.85627280961661
5,2,7,2018,26,1407,5.94253394978299
21,26,11,2018,33,823,2.07702825739459
93,24,4,2018,76,941,2.6835826995391
4,29,6,2018,67,1191,1.49020537690242
24,26,6,2018,9,2160,1.03882043635445
106,14,5,2018,6,709,1.96715751060543
733,5,8,2018,34,5023,2.34758403468183
39,2,5,2018,5,1693,1.35925285231565
2,2,2,2018,66,437,1.20573187817646
10,13,10,2018,30,1476,4.25642173759503
17,25,4,2018,5,996,1.85731052327403
2,25,9,2018,3,1263,1.56005156836873
1,2,7,2018,3,2220,9.6120231552005
6,13,7,2018,30,1049,2.49218161616618
1419,23,7,2018,57,1116,2.47084135503696
6,28,3,2018,67,744,1.08002854539911
4,1,3,2018,14,725,2.41965095017197
6,27,1,2018,14,624,1.89075264471231
2,14,3,2018,21,1139,2.46883932438387
5,20,1,2018,28,2142,4.52618433660171
394,22,5,2018,34,1273,2.43777070948701
32,21,10,2018,58,587,1.50096648900045
83,8,11,2018,46,719,2.29388119026606
8,24,8,2018,56,1062,4.08258250984905
2,23,9,2018,26,1098,2.0828193107595
2,4,10,2018,26,1268,3.35173484922873
1,23,11,2018,56,332,0.868473688917778
33,17,4,2018,58,795,2.21051899009048
30,20,7,2018,22,997,2.84945429460531
370,15,12,2018,25,2905,2.0959839194713
6,30,10,2018,30,958,2.98091053847735
1326,20,11,2018,38,662,1.6215648359479
79,22,6,2018,33,805,2.28636374533575
98,30,8,2018,0,1102,2.36627422645787
8,21,8,2018,28,2113,1.64527614724909
116,5,1,2018,25,595,1.87754418626518
325,19,8,2018,76,2568,2.95682058694015
1,24,3,2018,26,2599,0
60,19,7,2018,16,2347,2.71721608211562
31,9,8,2018,4,3088,2.60199071738051
328,22,8,2018,8,1051,1.90900586679132
9,4,12,2018,24,814,2.95266703032515
896,3,4,2018,38,560,1.44023720499309
1381,19,11,2018,38,742,1.63377275558771
589,12,2,2018,29,797,1.55410595441585
141,21,5,2018,34,1196,2.26479000220351
125,10,8,2018,33,875,2.368538598219
40,21,6,2018,10,803,2.26926745424149
96,7,10,2018,35,1970,2.21544207934912
7,2,1,2018,16,559,1.81402462899109
7,11,4,2018,30,2591,4.00222871583645
18,15,10,2018,4,689,1.8701910641252
3,27,11,2018,7,530,1.85217133164054
891,30,6,2018,25,1403,2.32096107023028
30,16,1,2018,10,512,1.24293523978025
3,16,3,2018,40,612,1.2813418478253
1,27,8,2018,65,2802,0.926174036057908
26,5,9,2018,14,617,1.93205817691994
117,4,2,2018,37,698,1.39492213966663
127,28,9,2018,6,774,2.22239217428342
10,25,2,2018,20,744,1.86873467456074
1,8,9,2018,42,83,0
307,27,7,2018,8,1654,2.85116807524915
2488,22,10,2018,38,1130,1.91637015954249
7,3,12,2018,24,781,1.80734057674776
3,22,6,2018,13,1942,0.930651965634847
83,12,4,2018,33,1118,2.30672563393479
2033,13,8,2018,68,1193,2.37518376866803
3,8,11,2018,40,442,1.30774089049823
6,9,6,2018,32,24686,3.88471931856822
1176,7,10,2018,38,2174,1.81240623675924
45,25,10,2018,9,448,1.29998780866303
95,15,10,2018,1,690,1.60301028932806
65,5,6,2018,58,1165,2.592526754743
1,13,11,2018,7,926,4.50200572140097
24,25,12,2018,10,763,1.54246775965753
19,18,10,2018,20,859,1.85243550933207
11,7,6,2018,7,487,1.35694024539768
72,3,2,2018,34,769,1.83927071417846
12,26,12,2018,16,945,1.51323007293674
29,7,8,2018,5,1061,2.78158706831689
3,4,4,2018,67,498,1.31772634355548
22,20,9,2018,14,691,2.103504777484
3826,1,8,2018,38,1238,1.91751205021337
8,3,4,2018,35,460,1.34046528045088
4,6,3,2018,32,471,0.82186580036383
4,8,9,2018,39,535600,3.3917270034509
1,9,3,2018,3,791,2.79202638756408
75,17,2,2018,34,709,1.7576574678398
5,4,12,2018,4,313,0.925944282688683
50,21,10,2018,35,642,1.67185312229094
35,27,7,2018,5,1476,2.03602389385451
7,16,3,2018,14,570,1.94056384884107
10,11,2,2018,0,531,1.19011046045825
52,31,3,2018,76,1010,2.76105395367513
2,4,10,2018,3,758,3.13825166294376
111,29,5,2018,0,1168,1.84799817605292
4,27,11,2018,4,801,2.84142083024136
1710,27,8,2018,68,1109,2.29137476473665
32,6,1,2018,31,545,1.34423472727956
5,5,8,2018,56,2409,3.043181546566
364,19,9,2018,8,967,1.6910862947838
13,2,3,2018,14,1239,3.37065900603784
3,16,1,2018,13,867,3.28085970220128
6,15,12,2018,28,938,2.99655724210247
10,11,4,2018,24,1399,2.31886940728713
2,9,8,2018,27,2248,3.34112520826838
2,14,11,2018,7,433,1.66711206026465
33,25,2,2018,46,748,2.17756291018855
12,12,7,2018,59,1309,1.80179888591996
2,15,10,2018,27,608,1.67658154969139
36,11,2,2018,23,689,1.97216535087034
28,19,9,2018,14,775,2.26340219197301
4,27,9,2018,3,957,3.25133575371715
1405,28,8,2018,68,1041,2.29346128196941
14,31,1,2018,58,771,2.78639676463062
47,16,11,2018,0,1522,2.33908223169964
1,20,11,2018,41,856,0
1502,12,9,2018,57,986,2.45972885390892
4,8,11,2018,66,7014,1.06184790358432
3,30,5,2018,26,2104,9.02258808019648
2512,22,5,2018,37,1008,2.11197529693517
1001,10,6,2018,38,1659,1.69018944632257
1,4,12,2018,30,1341,5.93612498764766
185,16,7,2018,1,988,1.65977924364079
388,6,4,2018,57,621,1.80383184779128
2739,4,10,2018,29,671,1.73063699609238
69,28,6,2018,35,971,2.08651974317923
3155,27,9,2018,29,758,1.81219910573737
1,23,2,2018,27,1108,4.13751382571923
481,3,10,2018,23,1031,2.50793698364957
2,15,10,2018,56,871,2.63196914498736
22,19,6,2018,20,1015,2.36763103307325
58,31,5,2018,9,5900,2.15871848237072
5,5,1,2018,5,413,1.31103316306923
21,21,8,2018,14,875,2.72412498713001
141,29,7,2018,10,1781,2.83227114961344
3273,24,7,2018,29,828,1.93096297735789
1,14,12,2018,3,300,1.01959392340907
429,5,1,2018,37,563,1.42527009916052
238,30,7,2018,76,1380,3.2075558291045
2,5,8,2018,65,1541,0
47,13,4,2018,0,570,1.14471275812953
11,9,8,2018,39,2270,1.78174836939015
30,7,12,2018,0,662,1.70295998817031
1,12,1,2018,40,715,1.20766225573296
84,30,10,2018,76,2008,2.53975156421921
7,6,6,2018,40,730,1.74388151070336
4,14,2,2018,4,956,3.27650489697245
378,15,11,2018,57,639,1.96544690429793
16,11,11,2018,16,1860,2.90011721425052
5,16,11,2018,4,677,2.30799303593902
3,19,10,2018,32,704,1.63574628089637
47,2,9,2018,5,3986,2.19158770081444
1189,6,12,2018,37,672,1.66639114371885
146,29,3,2018,8,510,1.25226561769596
4,31,3,2018,20,638,1.58530489977725
9,15,1,2018,9,553,1.40594122967496
6,7,4,2018,14,2810,1.40676458800562
4,25,2,2018,32,720,1.95276988308572
39,2,6,2018,5,1601,2.5081788122172
34,18,11,2018,10,420,1.2574602013582
109,5,4,2018,8,760,1.42322684204746
164,30,8,2018,46,902,2.61035474209234
7,20,11,2018,22,1095,2.15258742532132
103,10,1,2018,34,601,1.89683997646027
1,14,4,2018,66,533,1.43912639601014
8,8,1,2018,22,845,2.83601311129239
32,24,3,2018,33,676,1.85613332528252
5,2,4,2018,39,1361,2.48374048670836
65,5,9,2018,0,869,2.42854921155983
773,4,6,2018,34,1651,2.58520498550176
34,24,3,2018,10,515,1.64023716717891
1,17,10,2018,3,1317,1.92040066503166
6,23,11,2018,14,544,1.71249766930337
53,9,11,2018,10,497,1.24685484059189
36,26,8,2018,5,177540,2.62810912303588
2469,17,5,2018,37,958,1.97547365430191
5,31,10,2018,39,1046,2.15802458692562
2404,25,5,2018,29,814,1.92497958152266
19,14,1,2018,46,585,1.82160784355166
878,20,8,2018,25,838,2.33080337987563
18,23,8,2018,20,1009,2.12045500733389
5,12,6,2018,26,2225,2.91530906321645
38,14,9,2018,32,2625,4.32203525515008
1350,13,8,2018,57,1121,2.36240722805313
46,9,8,2018,16,975,3.00640767727161
87,31,8,2018,9,594,1.16057402318405
68,31,7,2018,16,1160,2.72736210900292
40,15,4,2018,6,573,1.77361261030578
2,17,3,2018,7,375,1.33060870545237
1043,22,1,2018,29,578,1.66981997968762
690,7,11,2018,68,1098,2.1010056207376
3,19,3,2018,13,1010,1.31170027567386
3260,4,9,2018,37,1123,2.01993012104805
3,16,10,2018,40,462,1.23650751742907
282,24,7,2018,6,7322,2.23794905475402
1384,22,8,2018,57,971,2.43536264434875
7,25,5,2018,26,3992,2.54051133231787
388,4,4,2018,68,638,1.96472944273521
2,1,11,2018,21,1379,5.10272239387358
16,4,12,2018,5,580,1.87472808853171
7,21,3,2018,22,824,3.00734288593689
2287,17,10,2018,29,658,1.73214605899084
147,9,10,2018,46,980,2.89312269448457
1,29,8,2018,3,233,1.01959392340907
103,6,9,2018,46,931,2.26412769881413
678,7,4,2018,37,1055,1.6859349982705
279,7,6,2018,6,786,2.23506947311275
8,17,3,2018,4,1024,2.12924154784902
2,15,1,2018,32,1249,4.09327671857682
466,10,4,2018,25,861,2.19723307965644
138,6,6,2018,46,1044,2.74892755206518
13,3,8,2018,59,799,1.23230696114247
93,19,5,2018,46,1037,2.73364960270511
205,31,5,2018,76,1329,2.61789134335518
78,27,5,2018,35,1659,2.43273934894378
12,27,10,2018,4,906,0.91440362217878
101,12,9,2018,0,1631,2.54684600867348
2,16,8,2018,13,6733,1.08614022561413
6,2,12,2018,22,664,1.91329855882416
5,9,8,2018,13,813,2.43862224286829
1,11,3,2018,56,1524,4.59592688700296
3,19,7,2018,15,1162,1.19012135986022
43,27,7,2018,4,1881,2.42841387540752
25,1,8,2018,24,993,2.89327163226734
3,3,3,2018,67,1213,4.45247704322165
14,12,12,2018,20,603,1.75026860798302
1,3,11,2018,27,7695,2.89457716760637
37,11,8,2018,22,1624,3.32635168797578
11,31,7,2018,39,1460,0.41523025161839
28,19,7,2018,9,4347,1.40408182602856
20,18,8,2018,39,1324,2.37970436821485
19,16,8,2018,7,1126,1.18983862758106
2484,28,8,2018,37,936,1.9647341286736
48,5,1,2018,34,561,1.58402820643744
1858,19,10,2018,38,914,1.62526891603716
11,18,11,2018,16,968,2.764651082623
11,2,9,2018,28,2157,2.00461701105546
1209,14,12,2018,29,602,1.56202418718556
54,10,11,2018,76,737,2.01455822909968
33,19,8,2018,5,3202,2.84926069950298
2325,24,10,2018,29,632,1.7080742890986
127,21,11,2018,8,598,1.26670168566089
70,22,4,2018,0,1404,3.63823878908851
44,3,1,2018,8,442,1.12312599633699
81,4,12,2018,31,594,1.88508579140108
19,1,3,2018,58,761,2.32469861249447
106,17,7,2018,0,1513,2.08259611159931
6,12,9,2018,26,1583,3.76390841458154
3,12,6,2018,3,644,2.43203241643219
337,12,4,2018,34,984,2.07032087928603
1846,12,10,2018,38,793,1.55401304596839
110,1,10,2018,0,1039,2.38199746647551
1355,8,6,2018,68,955,2.28182689566782
253,12,8,2018,8,2330,3.17559863535378
29,14,8,2018,20,1501,3.70809546449092
19,10,10,2018,32,935,1.31779003788806
38,24,12,2018,8,769,1.41888172663721
3,11,2,2018,9,947,1.23802836493823
53,16,2,2018,0,706,1.29487239349905
60,28,2,2018,1,518,1.30414020439473
52,30,6,2018,58,807,2.03593867368539
1068,18,6,2018,57,1092,2.34326246441594
14,23,12,2018,35,777,1.62457295654902
6,16,9,2018,28,3631,3.25699286626146
50,25,3,2018,76,951,1.93802003003608
2645,23,6,2018,38,2496,1.96728194389647
157,5,5,2018,46,1278,2.71524177214577
9,26,12,2018,20,847,2.10535755551281
15,12,11,2018,5,707,2.15223014269247
18,3,5,2018,14,887,3.1487875809455
2,27,1,2018,26,1319,0
105,21,12,2018,23,793,2.66124816271667
108,19,1,2018,34,680,1.87274975002522
58,6,7,2018,58,1015,2.72462461000298
129,11,5,2018,6,613,1.68331557761847
2964,28,6,2018,29,763,1.91087332861364
21,21,9,2018,32,639,1.97597204903247
6,1,6,2018,42,2195,1.02915905900197
1,8,10,2018,3,698,2.73165964318303
3464,11,9,2018,37,1503,2.17825743602051
350,9,6,2018,31,2051,3.040741085681
21,7,7,2018,24,3209,3.67596756589714
7,15,7,2018,13,1127,3.10663354328266
244,10,7,2018,6,685,1.93560871660015
7,22,10,2018,7,527,0.82749982826379
17,10,2,2018,46,866,2.71686110961958
20,19,9,2018,20,645,1.63908754559588
401,20,12,2018,57,2360,2.08023751496696
933,16,9,2018,25,1178,2.41301586290853
2,10,3,2018,7,803,1.82176299706128
44,4,8,2018,22,1567,3.93209533816848
2,19,4,2018,28,1117,4.41439142152048
1,14,3,2018,28,1384,4.71641368337614
4,2,10,2018,40,6179,3.37270179578288
1,23,4,2018,66,1212,1.14616702122814
1,29,9,2018,15,2230,4.54920282311084
294,19,1,2018,57,547,1.68029835536644
6,25,1,2018,14,682,2.21826684330327
13,1,6,2018,39,1062,1.3925190955692
21,13,10,2018,4,847,2.34205505210672
12,18,2,2018,9,466,1.20176025854026
17,1,12,2018,33,852,2.53393556659307
6,12,7,2018,15,1368,3.23586085540363
11,16,12,2018,22,865,2.82574976221167
5,7,3,2018,22,749,2.78622022313729
48,10,7,2018,9,1664,1.95718691513304
2,16,4,2018,59,1366,4.51429710025379
11,27,1,2018,20,709,2.24470733206167
13,5,3,2018,16,1468,2.51539525150329
15,16,6,2018,28,1252,3.26683263047667
301,1,5,2018,8,1463,2.42612651932675
7,9,9,2018,28,1546,1.87027834584326
2,25,11,2018,39,436,1.0562260000439
5,4,7,2018,26,3139,4.24223201268391
1,28,12,2018,26,1026,0
3,3,2,2018,20,1190,3.46642891291461
289,6,8,2018,31,1439,2.39778115295791
3,9,12,2018,28,2767,9.34956444052686
4,9,4,2018,59,952,2.56221974619569
64,20,5,2018,6,651,1.99261292292744
8,15,10,2018,13,789,2.73414669278192
3,6,1,2018,0,591,0.755048332516377
8,14,7,2018,24,872,2.37614517112623
1,21,6,2018,3,973,4.35610266085585
1,24,9,2018,40,4671,5.73367771018479
1,1,6,2018,65,571,1.61814546689186
77,23,9,2018,35,2564,2.05023258401964
40,16,6,2018,22,19176,2.83616286762872
92,8,7,2018,0,3444,2.27761273780852
391,8,5,2018,31,1553,2.92651529857697
3,21,9,2018,26,1414,7.56146239353342
29,14,8,2018,14,1129,2.6206747414884
2381,11,6,2018,37,1276,2.1247388106857
7,7,10,2018,24,1629,3.47451007137384
721,11,4,2018,68,874,2.41455067577051
2799,22,5,2018,38,1040,1.90288101668943
10,20,2,2018,35,343,1.19136804317844
6,26,6,2018,26,1003,1.32624201938342
60,4,8,2018,16,2835,3.57762718236706
8,22,7,2018,7,1007,2.21923062081896
1041,29,1,2018,29,558,1.53936027735499
193,23,12,2018,29,2108,1.66518717536863
40,6,10,2018,58,787,2.06278299980207
12,23,5,2018,4,1255,1.86878622114581
4,15,5,2018,21,1235,4.26433193138114
822,26,4,2018,57,911,2.42086510732619
357,18,4,2018,68,742,2.41346586195389
185,17,1,2018,25,707,2.21687035418467
3,1,1,2018,76,2928,2.31779911890939
31,24,6,2018,14,2181,3.2474844278531
44,21,2,2018,1,501,1.29463231647867
1,12,7,2018,41,973,2.27244173593469
663,8,5,2018,34,1626,2.36959184848953
9,22,10,2018,4,599,1.55666765652954
2875,21,9,2018,29,735,1.78375566550902
145,15,7,2018,10,1792,3.09645539294256
8,20,6,2018,40,1965,3.52843275566867
1249,31,1,2018,38,579,1.56873755129357
4,28,2,2018,4,652,1.81745288113688
35,2,7,2018,20,1570,1.89254596876419
991,6,8,2018,25,897,2.26627292329315
86,8,10,2018,0,3985,2.21879973936722
1371,21,6,2018,29,739,1.80725750948344
568,8,2,2018,37,695,1.64561492717384
477,5,5,2018,23,2962,2.54291367870599
83,11,12,2018,31,604,1.71545811051265
285,29,4,2018,23,1738,2.40337277798043
17,6,11,2018,22,767,2.44782284431749
11,30,5,2018,30,687,2.20535867106288
3,6,5,2018,40,12102,0.918318619762357
10,17,2,2018,9,311,0.930764570117583
113,13,8,2018,0,1311,2.24868114959069
20,4,4,2018,16,754,2.46832442778014
3539,17,9,2018,37,1116,2.09522110107967
2,24,7,2018,15,1870,4.71848105135866
2,7,2,2018,30,358,0.980441993937368
2,17,11,2018,67,1067,2.98761279885525
1,19,3,2018,7,1712,5.15196122933245
23,15,6,2018,24,1878,3.14003836485885
194,12,4,2018,8,675,1.68064197427087
90,27,10,2018,76,3885,2.52621867197304
591,19,8,2018,31,1967,2.58344432104107
1,24,7,2018,41,395,1.11701866066385
12,21,10,2018,13,3590,2.08809387509466
7,10,2,2018,58,709,1.85254134442557
111,30,4,2018,46,1066,2.70525607083751
1,24,10,2018,41,2607,1.46689018700269
8,17,4,2018,13,946,1.85202301081532
49,28,10,2018,76,1339,3.18255644592304
2590,25,9,2018,29,682,1.75392042041018
86,8,1,2018,8,471,1.29137609504098
3,20,7,2018,67,1100,2.74496899155999
4,13,10,2018,56,1049,2.73059785072617
3001,2,10,2018,29,718,1.83166748504613
20,26,4,2018,5,516,1.50183982556445
6,14,5,2018,32,1982,3.30881980875332
198,5,8,2018,8,1917,2.59842042713941
1,21,2,2018,27,1081,4.13751382571923
45,25,2,2018,1,1061,2.23361752890366
1,7,2,2018,4,1022,2.79009861504805
58,7,9,2018,58,684,1.90753661190644
271,31,3,2018,34,1523,2.00327694986857
5,30,12,2018,9,916,2.96652850227887
20,4,6,2018,20,1681,3.88706218743271
352,29,11,2018,68,748,2.19132183973891
1030,16,5,2018,25,844,2.43188416513329
6,15,4,2018,20,615,1.77536383639601
492,6,8,2018,34,1547,2.30975975743186
33,1,7,2018,20,3337,5.26091995500048
2,19,1,2018,3,768,2.56489527946693
49,6,3,2018,10,476,1.4541859264837
234,11,9,2018,6,870,1.89513274029914
16,7,6,2018,32,948,1.24022120027688
448,27,5,2018,23,1779,2.55169390550802
4,25,6,2018,3,663,2.42098330022
1,11,3,2018,67,862,0
5,18,4,2018,13,1075,4.16969328136306
8,28,3,2018,22,687,2.47335103045584
142,4,9,2018,46,937,2.41082149794259
51,31,8,2018,58,828,2.45722649728902
1,9,10,2018,15,1469,4.54920282311084
3,14,7,2018,59,1181,3.42898921087965
19,1,5,2018,22,1060,3.87823575699951
1,20,1,2018,3,538,1.92040066503166
45,20,3,2018,33,744,2.33412006988184
28,17,4,2018,16,671,2.22974431413365
23,30,12,2018,6,571,1.66651933511996
72,23,11,2018,31,1340,2.39007173109154
2,28,10,2018,56,531,1.15195883213451
7,14,8,2018,26,11852,7.13075589108626
484,13,8,2018,23,1163,2.52195498250715
2,25,9,2018,26,3402,6.17443968869488
34,30,10,2018,5,1007,2.33699643106489
8,28,7,2018,59,759,3.10758945849035
2834,2,7,2018,29,778,1.95549024059899
21,3,9,2018,14,1558,1.61656545135611
3,7,2,2018,7,587,2.36112593684
3074,26,9,2018,29,698,1.82857010587181
45,22,6,2018,58,827,2.05698998717199
2,25,1,2018,40,28776,1.28956717842052
6,18,6,2018,40,516,1.0143384245018
9,16,5,2018,28,1293,4.09375222722024
3,14,10,2018,59,1056,2.59154277689275
323,1,7,2018,23,5315,2.5535509892397
808,22,4,2018,57,1670,2.30495582182731
2444,26,6,2018,29,893,1.90518410474436
34,19,1,2018,0,612,1.73409348859135
214,12,6,2018,6,748,2.06783626436186
3,15,9,2018,21,1177,2.83648672246498
1,11,11,2018,30,679,1.54360378878478
19,30,4,2018,20,1652,1.73369184407565
63,26,9,2018,35,660,1.61951604212488
10,13,7,2018,27,4919,2.10356085460022
1,8,11,2018,21,2387,9.74037559963314
3,13,5,2018,26,7323,0
1,24,10,2018,15,11207,0.752705551702814
53,22,10,2018,16,1514,2.78223775115462
2,10,4,2018,56,1213,4.73860154580859
20,8,8,2018,59,767,1.39771971579457
150,16,7,2018,46,1040,2.73533126026818
49,12,3,2018,76,599,1.85347261736169
2871,5,7,2018,38,1389,1.85073787605011
73,7,6,2018,58,915,2.23050048096382
2940,25,6,2018,29,835,1.92181045008457
403,27,8,2018,23,1035,2.58014641189252
181,11,6,2018,6,761,1.94966425047977
2,25,3,2018,67,1535,2.1305838951049
1,3,11,2018,41,960,1.70412906514074
27,23,9,2018,4,1670,3.49253345520096
13,20,1,2018,9,576,1.35102418679932
26,29,12,2018,6,603,1.68366366494439
92,31,3,2018,8,954,1.9909980164074
353,28,8,2018,23,843,2.41607359233366
413,20,8,2018,34,1229,2.4478031476615
110,14,8,2018,0,1391,2.92449746984864
55,20,3,2018,10,466,1.41922442502615
9,23,11,2018,5,1676,0.7663809203859
1,3,9,2018,40,460,1.76931468980627
3,22,2,2018,30,491,1.69010766966811
51,17,5,2018,9,547,1.13747609198185
3,1,3,2018,30,400,1.36320794518521
1,2,5,2018,66,336,1.14616702122814
65,14,8,2018,35,1057,1.95721631782968
206,5,11,2018,34,822,2.2116494043063
27,13,1,2018,1,678,1.0199651936938
2,6,11,2018,40,198,0.574216954031371
281,29,10,2018,8,598,1.33013097924126
141,8,4,2018,34,1172,1.96259047590752
61,16,11,2018,1,639,1.64421910864618
5,25,5,2018,3,657,2.45941760772719
1,20,11,2018,42,1501,0.801544041889812
421,13,11,2018,25,705,2.14575042277675
95,22,1,2018,6,468,1.41276640752435
53,19,7,2018,35,824,2.01095518711968
36,25,2,2018,35,2774,2.14981758906327
2220,26,10,2018,38,961,1.75378624469168
4,17,5,2018,40,1338,2.56898129097724
347,26,8,2018,8,4126,2.15865350549805
1,9,11,2018,7,967,2.61140531914001
2,18,11,2018,13,1305,3.08019471054437
63,10,1,2018,31,616,1.84266871370588
1,24,3,2018,30,247,0.892979844189397
3,20,3,2018,56,919,2.49441763541656
9,28,7,2018,67,1003,1.02052767572833
20,13,1,2018,0,411,0.912993215868634
1,6,12,2018,40,402,0.970103931240472
164,17,10,2018,6,688,1.81264692613526
5,4,12,2018,28,599,1.8951090698213
497,23,8,2018,23,1106,2.67140974996664
212,31,8,2018,6,973,2.35712224336971
2,18,8,2018,42,2384,4.98909363332137
5,26,11,2018,5,460,1.50183700330191
18,7,1,2018,46,584,1.83648811906001
3706,26,7,2018,38,1137,2.02007261313911
18,24,7,2018,32,953,2.9074138255477
6,22,4,2018,3,645,2.10234532767969
63,14,9,2018,35,1042,1.6570232811033
104,28,11,2018,34,744,2.07138754651282
489,12,9,2018,23,1022,2.77711701418067
188,23,7,2018,76,1534,2.99228010295497
22,19,3,2018,16,665,2.08775343621311
574,12,1,2018,37,565,1.53906018824247
10,29,7,2018,7,683,1.89560310578166
24,20,1,2018,0,753,1.52711630952846
49,18,8,2018,16,1117,2.19495480561563
3,16,10,2018,66,1373,1.30573313921611
5,24,7,2018,26,14843,2.57422334000709
156,28,11,2018,8,457,1.11945821431977
9,9,10,2018,66,1396,3.48094982697803
1,7,12,2018,3,258,1.01959392340907
24,8,4,2018,16,749,2.2202985428917
31,14,6,2018,9,2065,2.03676612638808
5,10,4,2018,28,1665,4.25842745914528
5,5,11,2018,59,853,2.96151103819861
7,29,10,2018,30,1052,3.5412996860736
63,7,9,2018,9,424,0.893711654914539
297,8,1,2018,25,681,2.20778290172656
237,17,7,2018,6,728,2.02742763396138
28,28,8,2018,14,697,1.93622333690504
768,12,4,2018,57,1070,2.34409483086
3725,4,6,2018,37,1297,2.25402521213249
13,5,4,2018,5,602,1.87027335495902
85,27,10,2018,1,1126,2.37467064880412
8,3,8,2018,56,1344,4.35891187995474
8,16,7,2018,40,1472,0.91553332246231
1,29,5,2018,67,264,0.987994889047369
1902,27,2,2018,38,839,1.91565793268221
119,29,7,2018,33,1395,3.12260317602768
3621,27,5,2018,38,2981,1.91705613280048
123,16,8,2018,10,971,2.28959831392195
1157,25,6,2018,57,1148,2.60842291416948
3,14,12,2018,26,1289,3.13806211818041
959,2,9,2018,25,1461,2.40271839862556
493,26,8,2018,31,1904,2.66562128633828
6,2,6,2018,28,1268,4.32748200165126
5,24,3,2018,7,827,2.88525394670525
92,25,12,2018,57,1146,1.94544588448966
4,24,5,2018,66,635,1.19659516573918
24,26,3,2018,16,1206,1.94034637422967
1,31,7,2018,42,3243,0
442,17,5,2018,34,1107,2.16635850801811
3,9,11,2018,13,26453,3.25152040666116
134,12,4,2018,31,1211,2.88146551188921
8,3,1,2018,5,495,1.27171931181129
2,21,7,2018,21,1325,3.91667694353626
102,29,10,2018,33,917,2.41427526747168
8,27,3,2018,5,637,2.24460154016722
7,27,6,2018,66,2495,2.9942065032438
106,12,6,2018,0,1338,2.72683672970267
71,5,4,2018,31,2149,1.69611785429825
190,7,9,2018,6,659,1.80348465834914
2,17,2,2018,66,468,1.55591073022674
489,4,9,2018,34,1248,2.37435037389069
88,5,6,2018,0,1093,2.36390078683036
3,5,11,2018,56,871,3.03084508694959
2,17,7,2018,3,1191,4.87332308736754
462,25,5,2018,23,1375,2.67994435557598
2034,12,4,2018,37,967,1.94538599379462
11,14,6,2018,32,1231,3.94884449072009
12,29,3,2018,14,642,2.07895991858851
222,8,8,2018,76,1476,2.54391631660995
7,24,10,2018,32,316,0.798063664020644
1218,1,7,2018,57,1334,2.31883233187889
2,28,10,2018,67,692,2.094577025105
1,10,1,2018,28,442,2.02526462824188
2059,17,6,2018,68,1547,2.26623163644504
52,19,3,2018,10,672,1.62849016785583
3,20,3,2018,59,1521,4.91298292702232
72,26,7,2018,35,1081,1.89036761622512
268,27,7,2018,1,1388,2.19918531486418
4,28,8,2018,40,1195,4.07232795989718
51,2,4,2018,33,628,1.96927642645528
345,25,2,2018,29,738,1.73924014919997
90,23,10,2018,76,795,2.47553913231594
16,27,5,2018,32,4822,2.21920942107585
37,19,10,2018,35,683,1.61798615996686
360,21,3,2018,25,849,2.20391923860575
113,9,7,2018,46,1268,2.88790549287924
489,30,3,2018,57,682,1.88208036940685
5,27,10,2018,24,850,2.10193451709686
2,6,9,2018,66,785,1.82010682086428
46,7,6,2018,9,961,1.70501033480935
9,10,4,2018,22,1307,4.7264826808615
159,15,4,2018,29,2031,1.35438709284776
39,21,5,2018,46,2113,2.21169151658203
793,19,8,2018,34,2974,2.3935825112171
14,27,7,2018,30,1927,1.93481593241013
2,22,12,2018,66,268,0.893828170645729
361,9,1,2018,68,697,2.2093652174396
666,20,2,2018,38,606,1.42687314256036
115,2,10,2018,46,767,2.46887787686606
82,15,10,2018,10,673,1.62118752709522
2,20,9,2018,66,567,0.573083510614072
2,18,5,2018,3,611,2.35621352629787
10,30,5,2018,4,698,2.19891421168509
5,9,6,2018,28,1410,2.09753117979133
534,29,4,2018,29,1206,1.85003693778444
8,1,9,2018,39,5044,0.928434389350478
21,13,7,2018,4,2698,2.11988093403057
1,22,2,2018,41,724,2.45898748315388
2675,25,8,2018,68,1436,2.43958595723001
2700,3,6,2018,68,1472,2.48714398259573
11,4,11,2018,16,751,2.30376528133928
13,14,11,2018,14,598,2.22816405595434
11,26,6,2018,20,760,2.09980565306601
9,23,2,2018,7,644,2.34354049844744
28,28,6,2018,32,928,1.87169047570208
285,8,5,2018,8,1358,2.66971707483507
1,10,5,2018,40,5834,2.92141284455984
5,6,3,2018,59,847,2.2131213809986
29,24,9,2018,14,769,1.70495359513712
4,11,5,2018,3,687,2.47621078071793
7,9,2,2018,0,604,1.87386230833809
34,16,4,2018,33,683,2.05685716674904
41,1,5,2018,5,1998,3.0241216296815
1,25,11,2018,42,475,1.27987182661957
93,23,6,2018,35,1424,2.35251293396438
67,3,10,2018,9,1747,1.18207759196926
307,7,3,2018,25,650,2.25409176469392
37,24,11,2018,76,976,2.28419651107849
15,15,3,2018,14,554,1.62419566932304
190,2,2,2018,57,424,1.33026741252407
8,30,12,2018,58,476,1.65366059119978
1,1,12,2018,59,602,2.12664294544593
1,4,3,2018,30,1541,4.07826931149633
139,26,9,2018,46,1058,2.7262735166956
4,23,12,2018,32,1792,4.1475954301072
